Type	Kimura	Genome_percent
LTR	9	0.00890858333333
LTR/Gypsy	9	0.0956693333333
LTR/Copia	9	0.0150268333333
RC/Helitron	9	0.0117903333333
DNA/Transib	9	7e-06
DNA/TcMar	9	0.047181
DNA/Sola	9	0.00301091666667
DNA/PiggyBac	9	0.000956333333333
DNA/P	9	0.000411333333333
DNA	9	0.0699796666667
DNA/Maverick	9	0.13394725
DNA/Kolobok	9	0.000415833333333
DNA/hAT	9	0.11164725
DNA/Harbinger	9	0.007167
DNA/Ginger	9	0
DNA/Academ	9	0.00360241666667
Other	9	0.00475041666667
SINE	10	0.012177
LINE/R2	10	0.0477350833333
LINE/Jockey-I	10	0.04468825
LINE/R1	10	0.00932508333333
LINE/LOA	10	2.66666666667e-06
LINE/L2	10	0.00183483333333
LINE/CR1	10	0.00965216666667
LINE/RTE	10	0.22417975
LINE	10	0.0165856666667
LINE/L1	10	0
LTR	10	0.00668766666667
LTR/Gypsy	10	0.0943520833333
LTR/Copia	10	0.0119483333333
RC/Helitron	10	0.0101833333333
DNA/Transib	10	2.35833333333e-05
DNA/TcMar	10	0.0402114166667
DNA/Sola	10	0.00180158333333
DNA/PiggyBac	10	0.00112266666667
DNA/P	10	0.000342916666667
DNA	10	0.0617336666667
DNA/Maverick	10	0.146264333333
DNA/Kolobok	10	0.00037975
DNA/hAT	10	0.1029205
DNA/Harbinger	10	0.00806125
DNA/Ginger	10	0
DNA/Academ	10	0.00442391666667
Other	10	0.00616691666667
SINE	11	0.0130005833333
LINE/R2	11	0.064874
LINE/Jockey-I	11	0.031895
LINE/R1	11	0.00610058333333
LINE/LOA	11	4.58333333333e-06
LINE/L2	11	0.00140166666667
LINE/CR1	11	0.00690466666667
LINE/RTE	11	0.24971
LINE	11	0.0114003333333
LINE/L1	11	0
LTR	11	0.00697775
LTR/Gypsy	11	0.0856166666667
LTR/Copia	11	0.007595
RC/Helitron	11	0.0108160833333
DNA/Transib	11	4.19166666667e-05
DNA/TcMar	11	0.0339578333333
DNA/Sola	11	0.0021135
DNA/PiggyBac	11	0.000954166666667
DNA/P	11	0.000393583333333
DNA	11	0.05889375
DNA/Maverick	11	0.167701
DNA/Kolobok	11	0.0001345
DNA/hAT	11	0.117983416667
DNA/Harbinger	11	0.00511491666667
DNA/Ginger	11	0
DNA/Academ	11	0.00483358333333
Other	11	0.00725508333333
SINE	12	0.0125205833333
LINE/R2	12	0.0770511666667
LINE/Jockey-I	12	0.0286233333333
LINE/R1	12	0.00381525
LINE/LOA	12	6.08333333333e-06
LINE/L2	12	0.00143833333333
LINE/CR1	12	0.00690833333333
LINE/RTE	12	0.25117775
LINE	12	0.01339975
LINE/L1	12	0
LTR	12	0.007332
LTR/Gypsy	12	0.0836895
LTR/Copia	12	0.00473141666667
RC/Helitron	12	0.0110883333333
DNA/Transib	12	0
DNA/TcMar	12	0.03157175
DNA/Sola	12	0.00250933333333
DNA/PiggyBac	12	0.000207166666667
DNA/P	12	0.000301
DNA	12	0.0575705
DNA/Maverick	12	0.196019916667
DNA/Kolobok	12	0.000133166666667
DNA/hAT	12	0.132534916667
DNA/Harbinger	12	0.00678741666667
DNA/Ginger	12	0
DNA/Academ	12	0.00439458333333
Other	12	0.0121331666667
SINE	13	0.01270925
LINE/R2	13	0.07289875
